actual 	 predictions 	 nonNegRsquared 	 cnSMAPE 	 |delta| 	 SMAPE 
actual 	 predictions 	 [0, +1] 		   [0, +1] 		 [0, 1] 	 [0, 2] 
1 2 3 4 5	1 1 1 2 4	0 		 0.7444444 		 0.7444444 		 0.5111111 
1 2 3 4 5	1 1 1 2 5	0.1 		 0.7666667 		 0.6666667 		 0.4666667 
1 2 3 4 5	1 1 1 3 3	0 		 0.7547619 		 0.7547619 		 0.4904762 
1 2 3 4 5	1 1 1 3 4	0.3 		 0.7825397 		 0.4825397 		 0.4349206 
1 2 3 4 5	1 1 1 3 5	0.4 		 0.8047619 		 0.4047619 		 0.3904762 
1 2 3 4 5	1 1 1 4 3	0.1 		 0.7833333 		 0.6833333 		 0.4333333 
1 2 3 4 5	1 1 1 4 4	0.4 		 0.8111111 		 0.4111111 		 0.3777778 
1 2 3 4 5	1 1 1 4 5	0.5 		 0.8333333 		 0.3333333 		 0.3333333 
1 2 3 4 5	1 1 1 5 3	0 		 0.7611111 		 0.7611111 		 0.4777778 
1 2 3 4 5	1 1 1 5 4	0.3 		 0.7888889 		 0.4888889 		 0.4222222 
1 2 3 4 5	1 1 1 5 5	0.4 		 0.8111111 		 0.4111111 		 0.3777778 
1 2 3 4 5	1 1 2 2 3	0 		 0.7766667 		 0.7766667 		 0.4466667 
1 2 3 4 5	1 1 2 2 4	0.3 		 0.8044444 		 0.5044444 		 0.3911111 
1 2 3 4 5	1 1 2 2 5	0.4 		 0.8266667 		 0.4266667 		 0.3466667 
1 2 3 4 5	1 1 2 3 3	0.3 		 0.8147619 		 0.5147619 		 0.3704762 
1 2 3 4 5	1 1 2 3 4	0.6 		 0.8425397 		 0.2425397 		 0.3149206 
1 2 3 4 5	1 1 2 3 5	0.7 		 0.8647619 		 0.1647619 		 0.2704762 
1 2 3 4 5	1 1 2 4 3	0.4 		 0.8433333 		 0.4433333 		 0.3133333 
1 2 3 4 5	1 1 2 4 4	0.7 		 0.8711111 		 0.1711111 		 0.2577778 
1 2 3 4 5	1 1 2 4 5	0.8 		 0.8933333 		 0.09333333 		 0.2133333 
